"","Param","Date","Year","Units","Month","Result"
"1878","pH",2009-07-21,2009,"pH","Jul",7.12
"1879","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.47
"1880","pH",2009-07-21,2009,"pH","Jul",7.32
"1881","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.16
"1882","Temperature, water",2009-07-21,2009,"deg C","Jul",10.29
"1883","pH",2009-07-21,2009,"pH","Jul",7.23
"1884","pH",2009-07-21,2009,"pH","Jul",6.73
"1885","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.14
"1886","Temperature, water",2009-07-21,2009,"deg C","Jul",15.3
"1887","pH",2009-07-21,2009,"pH","Jul",6.92
"1888","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.52
"1889","Temperature, water",2009-07-21,2009,"deg C","Jul",15.41
"1890","pH",2009-07-21,2009,"pH","Jul",6.79
"1891","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.99
"1892","Temperature, water",2009-07-21,2009,"deg C","Jul",16.71
"1893","Temperature, water",2009-07-21,2009,"deg C","Jul",16.28
"1894","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.8
"1895","Temperature, water",2009-07-21,2009,"deg C","Jul",16.35
"1896","pH",2009-07-21,2009,"pH","Jul",7.13
"1897","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.47
"1898","pH",2009-07-21,2009,"pH","Jul",7.32
"1899","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.19
"1900","Temperature, water",2009-07-21,2009,"deg C","Jul",10.26
"1901","pH",2009-07-21,2009,"pH","Jul",7.22
"1902","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.16
"1903","Temperature, water",2009-07-21,2009,"deg C","Jul",15.29
"1904","pH",2009-07-21,2009,"pH","Jul",6.74
"1905","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.52
"1906","pH",2009-07-21,2009,"pH","Jul",6.92
"1907","Temperature, water",2009-07-21,2009,"deg C","Jul",15.34
"1908","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.98
"1909","Temperature, water",2009-07-21,2009,"deg C","Jul",16.7
"1910","pH",2009-07-21,2009,"pH","Jul",6.8
"1911","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.82
"1912","Temperature, water",2009-07-21,2009,"deg C","Jul",16.2
"1913","Temperature, water",2009-07-21,2009,"deg C","Jul",16.27
"1914","pH",2009-07-21,2009,"pH","Jul",7.13
"1915","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.47
"1916","pH",2009-07-21,2009,"pH","Jul",7.33
"1917","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.2
"1918","Temperature, water",2009-07-21,2009,"deg C","Jul",10.24
"1919","pH",2009-07-21,2009,"pH","Jul",7.22
"1920","pH",2009-07-21,2009,"pH","Jul",6.72
"1921","Temperature, water",2009-07-21,2009,"deg C","Jul",15.28
"1922","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.18
"1923","Temperature, water",2009-07-21,2009,"deg C","Jul",15.29
"1924","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.54
"1925","pH",2009-07-21,2009,"pH","Jul",6.92
"1926","Temperature, water",2009-07-21,2009,"deg C","Jul",16.66
"1927","pH",2009-07-21,2009,"pH","Jul",6.79
"1928","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7
"1929","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.83
"1930","Temperature, water",2009-07-21,2009,"deg C","Jul",16.12
"1931","Temperature, water",2009-07-21,2009,"deg C","Jul",16.2
"1932","pH",2009-07-21,2009,"pH","Jul",7.14
"1933","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.48
"1934","pH",2009-07-21,2009,"pH","Jul",7.32
"1935","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.23
"1936","pH",2009-07-21,2009,"pH","Jul",7.22
"1937","Temperature, water",2009-07-21,2009,"deg C","Jul",10.21
"1938","Temperature, water",2009-07-21,2009,"deg C","Jul",15.28
"1939","pH",2009-07-21,2009,"pH","Jul",6.73
"1940","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.14
"1941","pH",2009-07-21,2009,"pH","Jul",6.92
"1942","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.55
"1943","Temperature, water",2009-07-21,2009,"deg C","Jul",15.25
"1944","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7
"1945","pH",2009-07-21,2009,"pH","Jul",6.8
"1946","Temperature, water",2009-07-21,2009,"deg C","Jul",16.63
"1947","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.85
"1948","Temperature, water",2009-07-21,2009,"deg C","Jul",16.04
"1949","Temperature, water",2009-07-21,2009,"deg C","Jul",16.12
"1950","pH",2009-07-21,2009,"pH","Jul",7.14
"1951","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.5
"1952","pH",2009-07-21,2009,"pH","Jul",7.32
"1953","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.22
"1954","Temperature, water",2009-07-21,2009,"deg C","Jul",10.19
"1955","pH",2009-07-21,2009,"pH","Jul",7.21
"1956","Temperature, water",2009-07-21,2009,"deg C","Jul",15.29
"1957","pH",2009-07-21,2009,"pH","Jul",6.74
"1958","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.13
"1959","Temperature, water",2009-07-21,2009,"deg C","Jul",15.17
"1960","pH",2009-07-21,2009,"pH","Jul",6.92
"1961","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.57
"1962","pH",2009-07-21,2009,"pH","Jul",6.8
"1963","Temperature, water",2009-07-21,2009,"deg C","Jul",16.56
"1964","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.02
"1965","Temperature, water",2009-07-21,2009,"deg C","Jul",15.96
"1966","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.86
"1967","Temperature, water",2009-07-21,2009,"deg C","Jul",16.05
"1968","pH",2009-07-21,2009,"pH","Jul",7.14
"1969","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.49
"1970","pH",2009-07-21,2009,"pH","Jul",7.33
"1971","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.27
"1972","Temperature, water",2009-07-21,2009,"deg C","Jul",10.17
"1973","pH",2009-07-21,2009,"pH","Jul",7.21
"1974","Temperature, water",2009-07-21,2009,"deg C","Jul",15.28
"1975","pH",2009-07-21,2009,"pH","Jul",6.73
"1976","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.11
"1977","pH",2009-07-21,2009,"pH","Jul",6.92
"1978","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.57
"1979","Temperature, water",2009-07-21,2009,"deg C","Jul",15.12
"1980","Temperature, water",2009-07-21,2009,"deg C","Jul",16.51
"1981","pH",2009-07-21,2009,"pH","Jul",6.79
"1982","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.03
"1983","Temperature, water",2009-07-21,2009,"deg C","Jul",15.88
"1984","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.89
"1985","Temperature, water",2009-07-21,2009,"deg C","Jul",15.97
"1986","pH",2009-07-21,2009,"pH","Jul",7.14
"1987","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.47
"1988","pH",2009-07-21,2009,"pH","Jul",7.32
"1989","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.28
"1990","pH",2009-07-21,2009,"pH","Jul",7.2
"1991","Temperature, water",2009-07-21,2009,"deg C","Jul",10.15
"1992","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.12
"1993","pH",2009-07-21,2009,"pH","Jul",6.73
"1994","Temperature, water",2009-07-21,2009,"deg C","Jul",15.27
"1995","pH",2009-07-21,2009,"pH","Jul",6.92
"1996","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.59
"1997","Temperature, water",2009-07-21,2009,"deg C","Jul",15.06
"1998","Temperature, water",2009-07-21,2009,"deg C","Jul",16.48
"1999","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.03
"2000","pH",2009-07-21,2009,"pH","Jul",6.8
"2001","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.9
"2002","Temperature, water",2009-07-21,2009,"deg C","Jul",15.81
"2003","pH",2009-07-21,2009,"pH","Jul",7.14
"2004","Temperature, water",2009-07-21,2009,"deg C","Jul",15.9
"2005","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.52
"2006","pH",2009-07-21,2009,"pH","Jul",7.33
"2007","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.26
"2008","Temperature, water",2009-07-21,2009,"deg C","Jul",10.12
"2009","pH",2009-07-21,2009,"pH","Jul",7.2
"2010","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.16
"2011","pH",2009-07-21,2009,"pH","Jul",6.73
"2012","Temperature, water",2009-07-21,2009,"deg C","Jul",15.24
"2013","Temperature, water",2009-07-21,2009,"deg C","Jul",14.97
"2014","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.6
"2015","pH",2009-07-21,2009,"pH","Jul",6.92
"2016","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.04
"2017","Temperature, water",2009-07-21,2009,"deg C","Jul",16.43
"2018","pH",2009-07-21,2009,"pH","Jul",6.8
"2019","Temperature, water",2009-07-21,2009,"deg C","Jul",15.73
"2020","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.91
"2021","pH",2009-07-21,2009,"pH","Jul",7.14
"2022","Temperature, water",2009-07-21,2009,"deg C","Jul",15.82
"2023","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.5
"2024","pH",2009-07-21,2009,"pH","Jul",7.32
"2025","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.31
"2026","pH",2009-07-21,2009,"pH","Jul",7.2
"2027","Temperature, water",2009-07-21,2009,"deg C","Jul",10.09
"2028","Temperature, water",2009-07-21,2009,"deg C","Jul",15.22
"2029","pH",2009-07-21,2009,"pH","Jul",6.74
"2030","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.18
"2031","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.62
"2032","Temperature, water",2009-07-21,2009,"deg C","Jul",14.92
"2033","pH",2009-07-21,2009,"pH","Jul",6.92
"2034","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.08
"2035","pH",2009-07-21,2009,"pH","Jul",6.81
"2036","Temperature, water",2009-07-21,2009,"deg C","Jul",16.38
"2037","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.94
"2038","Temperature, water",2009-07-21,2009,"deg C","Jul",15.66
"2039","pH",2009-07-21,2009,"pH","Jul",7.14
"2040","Temperature, water",2009-07-21,2009,"deg C","Jul",15.75
"2041","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.5
"2042","pH",2009-07-21,2009,"pH","Jul",7.32
"2043","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.32
"2044","Temperature, water",2009-07-21,2009,"deg C","Jul",10.05
"2045","pH",2009-07-21,2009,"pH","Jul",7.2
"2046","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.11
"2047","pH",2009-07-21,2009,"pH","Jul",6.73
"2048","Temperature, water",2009-07-21,2009,"deg C","Jul",15.19
"2049","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.64
"2050","pH",2009-07-21,2009,"pH","Jul",6.93
"2051","Temperature, water",2009-07-21,2009,"deg C","Jul",14.86
"2052","pH",2009-07-21,2009,"pH","Jul",6.81
"2053","Temperature, water",2009-07-21,2009,"deg C","Jul",16.32
"2054","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.1
"2055","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.96
"2056","Temperature, water",2009-07-21,2009,"deg C","Jul",15.58
"2057","pH",2009-07-21,2009,"pH","Jul",7.14
"2058","Temperature, water",2009-07-21,2009,"deg C","Jul",15.67
"2059","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.55
"2060","pH",2009-07-21,2009,"pH","Jul",7.32
"2061","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.32
"2062","pH",2009-07-21,2009,"pH","Jul",7.21
"2063","Temperature, water",2009-07-21,2009,"deg C","Jul",10.03
"2064","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.17
"2065","pH",2009-07-21,2009,"pH","Jul",6.73
"2066","Temperature, water",2009-07-21,2009,"deg C","Jul",15.17
"2067","pH",2009-07-21,2009,"pH","Jul",6.93
"2068","Temperature, water",2009-07-21,2009,"deg C","Jul",14.79
"2069","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.65
"2070","pH",2009-07-21,2009,"pH","Jul",6.81
"2071","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.16
"2072","Temperature, water",2009-07-21,2009,"deg C","Jul",16.27
"2073","Temperature, water",2009-07-21,2009,"deg C","Jul",15.49
"2074","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.99
"2075","Temperature, water",2009-07-21,2009,"deg C","Jul",15.58
"2076","pH",2009-07-21,2009,"pH","Jul",7.14
"2077","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.54
"2078","pH",2009-07-21,2009,"pH","Jul",7.33
"2079","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.36
"2080","pH",2009-07-21,2009,"pH","Jul",7.22
"2081","Temperature, water",2009-07-21,2009,"deg C","Jul",10
"2082","Temperature, water",2009-07-21,2009,"deg C","Jul",15.14
"2083","pH",2009-07-21,2009,"pH","Jul",6.74
"2084","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.22
"2085","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.69
"2086","pH",2009-07-21,2009,"pH","Jul",6.93
"2087","Temperature, water",2009-07-21,2009,"deg C","Jul",14.74
"2088","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.26
"2089","pH",2009-07-21,2009,"pH","Jul",6.82
"2090","Temperature, water",2009-07-21,2009,"deg C","Jul",16.22
"2091","Temperature, water",2009-07-21,2009,"deg C","Jul",15.42
"2092","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.06
"2093","pH",2009-07-21,2009,"pH","Jul",7.16
"2094","Temperature, water",2009-07-21,2009,"deg C","Jul",15.5
"2095","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.53
"2096","pH",2009-07-21,2009,"pH","Jul",7.33
"2097","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.45
"2098","pH",2009-07-21,2009,"pH","Jul",7.22
"2099","Temperature, water",2009-07-21,2009,"deg C","Jul",9.97
"2100","pH",2009-07-21,2009,"pH","Jul",6.75
"2101","Temperature, water",2009-07-21,2009,"deg C","Jul",15.13
"2102","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.21
"2103","pH",2009-07-21,2009,"pH","Jul",6.94
"2104","Temperature, water",2009-07-21,2009,"deg C","Jul",14.68
"2105","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.76
"2106","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.39
"2107","pH",2009-07-21,2009,"pH","Jul",6.83
"2108","Temperature, water",2009-07-21,2009,"deg C","Jul",16.19
"2109","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.14
"2110","Temperature, water",2009-07-21,2009,"deg C","Jul",15.34
"2111","Temperature, water",2009-07-21,2009,"deg C","Jul",15.43
"2112","pH",2009-07-21,2009,"pH","Jul",7.17
"2113","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.57
"2114","pH",2009-07-21,2009,"pH","Jul",7.35
"2115","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.54
"2116","Temperature, water",2009-07-21,2009,"deg C","Jul",9.95
"2117","pH",2009-07-21,2009,"pH","Jul",7.23
"2118","pH",2009-07-21,2009,"pH","Jul",6.74
"2119","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.2
"2120","Temperature, water",2009-07-21,2009,"deg C","Jul",15.11
"2121","pH",2009-07-21,2009,"pH","Jul",6.95
"2122","Temperature, water",2009-07-21,2009,"deg C","Jul",14.63
"2123","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.81
"2124","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.5
"2125","Temperature, water",2009-07-21,2009,"deg C","Jul",16.17
"2126","pH",2009-07-21,2009,"pH","Jul",6.85
"2127","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.24
"2128","Temperature, water",2009-07-21,2009,"deg C","Jul",15.28
"2129","pH",2009-07-21,2009,"pH","Jul",7.19
"2130","Temperature, water",2009-07-21,2009,"deg C","Jul",15.37
"2131","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.57
"2132","pH",2009-07-21,2009,"pH","Jul",7.36
"2133","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.57
"2134","Temperature, water",2009-07-21,2009,"deg C","Jul",9.92
"2135","pH",2009-07-21,2009,"pH","Jul",7.23
"2136","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.26
"2137","Temperature, water",2009-07-21,2009,"deg C","Jul",15.1
"2138","pH",2009-07-21,2009,"pH","Jul",6.75
"2139","Temperature, water",2009-07-21,2009,"deg C","Jul",14.61
"2140","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.86
"2141","pH",2009-07-21,2009,"pH","Jul",6.95
"2142","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.63
"2143","pH",2009-07-21,2009,"pH","Jul",6.86
"2144","Temperature, water",2009-07-21,2009,"deg C","Jul",16.17
"2145","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.35
"2146","Temperature, water",2009-07-21,2009,"deg C","Jul",15.24
"2147","Temperature, water",2009-07-21,2009,"deg C","Jul",15.33
"2148","pH",2009-07-21,2009,"pH","Jul",7.22
"2149","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.59
"2150","pH",2009-07-21,2009,"pH","Jul",7.39
"2151","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.71
"2152","Temperature, water",2009-07-21,2009,"deg C","Jul",9.9
"2153","pH",2009-07-21,2009,"pH","Jul",7.23
"2154","pH",2009-07-21,2009,"pH","Jul",6.76
"2155","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.29
"2156","Temperature, water",2009-07-21,2009,"deg C","Jul",15.09
"2157","pH",2009-07-21,2009,"pH","Jul",6.97
"2158","Temperature, water",2009-07-21,2009,"deg C","Jul",14.59
"2159","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.92
"2160","Temperature, water",2009-07-21,2009,"deg C","Jul",16.19
"2161","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.77
"2162","pH",2009-07-21,2009,"pH","Jul",6.87
"2163","Temperature, water",2009-07-21,2009,"deg C","Jul",15.21
"2164","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.49
"2165","pH",2009-07-21,2009,"pH","Jul",7.24
"2166","Temperature, water",2009-07-21,2009,"deg C","Jul",15.3
"2167","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.64
"2168","pH",2009-07-21,2009,"pH","Jul",7.41
"2169","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.85
"2170","Temperature, water",2009-07-21,2009,"deg C","Jul",9.88
"2171","pH",2009-07-21,2009,"pH","Jul",7.24
"2172","pH",2009-07-21,2009,"pH","Jul",6.76
"2173","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.33
"2174","Temperature, water",2009-07-21,2009,"deg C","Jul",15.09
"2175","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.98
"2176","Temperature, water",2009-07-21,2009,"deg C","Jul",14.63
"2177","pH",2009-07-21,2009,"pH","Jul",6.98
"2178","Temperature, water",2009-07-21,2009,"deg C","Jul",16.24
"2179","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.9
"2180","pH",2009-07-21,2009,"pH","Jul",6.88
"2181","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.65
"2182","Temperature, water",2009-07-21,2009,"deg C","Jul",15.21
"2183","Temperature, water",2009-07-21,2009,"deg C","Jul",15.29
"2184","pH",2009-07-21,2009,"pH","Jul",7.27
"2185","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.64
"2186","pH",2009-07-21,2009,"pH","Jul",7.45
"2187","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.96
"2188","Temperature, water",2009-07-21,2009,"deg C","Jul",9.86
"2189","pH",2009-07-21,2009,"pH","Jul",7.24
"2190","Temperature, water",2009-07-21,2009,"deg C","Jul",15.1
"2191","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.37
"2192","pH",2009-07-21,2009,"pH","Jul",6.76
"2193","Temperature, water",2009-07-21,2009,"deg C","Jul",14.64
"2194","pH",2009-07-21,2009,"pH","Jul",7
"2195","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.01
"2196","Temperature, water",2009-07-21,2009,"deg C","Jul",16.29
"2197","pH",2009-07-21,2009,"pH","Jul",6.89
"2198","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.96
"2199","Temperature, water",2009-07-21,2009,"deg C","Jul",15.22
"2200","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.74
"2201","Temperature, water",2009-07-21,2009,"deg C","Jul",15.3
"2202","pH",2009-07-21,2009,"pH","Jul",7.3
"2203","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.66
"2204","pH",2009-07-21,2009,"pH","Jul",7.48
"2205","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.06
"2206","Temperature, water",2009-07-21,2009,"deg C","Jul",9.84
"2207","pH",2009-07-21,2009,"pH","Jul",7.24
"2208","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.37
"2209","pH",2009-07-21,2009,"pH","Jul",6.77
"2210","Temperature, water",2009-07-21,2009,"deg C","Jul",15.12
"2211","Temperature, water",2009-07-21,2009,"deg C","Jul",14.68
"2212","pH",2009-07-21,2009,"pH","Jul",7.01
"2213","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.04
"2214","pH",2009-07-21,2009,"pH","Jul",6.89
"2215","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.04
"2216","Temperature, water",2009-07-21,2009,"deg C","Jul",16.32
"2217","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.81
"2218","Temperature, water",2009-07-21,2009,"deg C","Jul",15.24
"2219","pH",2009-07-21,2009,"pH","Jul",7.33
"2220","Temperature, water",2009-07-21,2009,"deg C","Jul",15.31
"2221","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.68
"2222","pH",2009-07-21,2009,"pH","Jul",7.5
"2223","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.13
"2224","Temperature, water",2009-07-21,2009,"deg C","Jul",9.84
"2225","pH",2009-07-21,2009,"pH","Jul",7.24
"2226","Temperature, water",2009-07-21,2009,"deg C","Jul",15.19
"2227","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.45
"2228","pH",2009-07-21,2009,"pH","Jul",6.77
"2229","Temperature, water",2009-07-21,2009,"deg C","Jul",14.72
"2230","pH",2009-07-21,2009,"pH","Jul",7.02
"2231","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.09
"2232","Temperature, water",2009-07-21,2009,"deg C","Jul",16.41
"2233","pH",2009-07-21,2009,"pH","Jul",6.92
"2234","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.17
"2235","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.89
"2236","Temperature, water",2009-07-21,2009,"deg C","Jul",15.29
"2237","pH",2009-07-21,2009,"pH","Jul",7.36
"2238","Temperature, water",2009-07-21,2009,"deg C","Jul",15.36
"2239","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.68
"2240","pH",2009-07-21,2009,"pH","Jul",7.53
"2241","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.24
"2242","pH",2009-07-21,2009,"pH","Jul",7.12
"2243","Temperature, water",2009-07-21,2009,"deg C","Jul",15.53
"2244","Temperature, water",2009-07-21,2009,"deg C","Jul",9.83
"2245","pH",2009-07-21,2009,"pH","Jul",7.25
"2246","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.33
"2247","pH",2009-07-21,2009,"pH","Jul",6.77
"2248","Temperature, water",2009-07-21,2009,"deg C","Jul",15.28
"2249","pH",2009-07-21,2009,"pH","Jul",7.03
"2250","Temperature, water",2009-07-21,2009,"deg C","Jul",14.74
"2251","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.09
"2252","Temperature, water",2009-07-21,2009,"deg C","Jul",16.48
"2253","pH",2009-07-21,2009,"pH","Jul",6.93
"2254","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.19
"2255","Temperature, water",2009-07-21,2009,"deg C","Jul",15.36
"2256","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.96
"2257","pH",2009-07-21,2009,"pH","Jul",7.38
"2258","Temperature, water",2009-07-21,2009,"deg C","Jul",15.42
"2259","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.7
"2260","pH",2009-07-21,2009,"pH","Jul",7.55
"2261","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.3
"2262","Temperature, water",2009-07-21,2009,"deg C","Jul",9.84
"2263","pH",2009-07-21,2009,"pH","Jul",7.25
"2264","Temperature, water",2009-07-21,2009,"deg C","Jul",15.38
"2265","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.4
"2266","pH",2009-07-21,2009,"pH","Jul",6.8
"2267","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.1
"2268","Temperature, water",2009-07-21,2009,"deg C","Jul",14.84
"2269","pH",2009-07-21,2009,"pH","Jul",7.04
"2270","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.29
"2271","pH",2009-07-21,2009,"pH","Jul",6.93
"2272","Temperature, water",2009-07-21,2009,"deg C","Jul",16.59
"2273","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.04
"2274","Temperature, water",2009-07-21,2009,"deg C","Jul",15.44
"2275","Temperature, water",2009-07-21,2009,"deg C","Jul",15.51
"2276","pH",2009-07-21,2009,"pH","Jul",7.43
"2277","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.64
"2278","pH",2009-07-21,2009,"pH","Jul",7.59
"2279","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.36
"2280","pH",2009-07-21,2009,"pH","Jul",7.04
"2281","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.12
"2282","Temperature, water",2009-07-21,2009,"deg C","Jul",14.92
"2283","pH",2009-07-21,2009,"pH","Jul",7.27
"2284","Temperature, water",2009-07-21,2009,"deg C","Jul",9.86
"2285","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.41
"2286","Temperature, water",2009-07-21,2009,"deg C","Jul",15.48
"2287","pH",2009-07-21,2009,"pH","Jul",6.79
"2288","Temperature, water",2009-07-21,2009,"deg C","Jul",16.71
