"","applied_amount","measurement_unit","applied_date","applied_year","practice_code","practice_name","program","land_use","land_unit_id","land_unit_acres","huc12","affiliate_type","land_unit_has_multiple_instances_of_same_practice_code","land_unit_has_multiple_instances_of_same_practice_code_applied_the_same_year","duplicates_id_yr_code","duplicates_id_yr_code_amt","flagged_for_removal"
"1158",178.6,"Ac",2022-08-25,2022,"590","Nutrient Management","EQIP","Crop","{2457EA6B-05B2-4204-890C-DA780ABF87FB}",178.6,"170601070504","Other source","yes","no",1,1,0
"1159",178.6,"Ac",2023-09-11,2023,"590","Nutrient Management","EQIP","Crop","{2457EA6B-05B2-4204-890C-DA780ABF87FB}",178.6,"170601070504","Other source","yes","no",1,1,0
"1160",178.6,"Ac",2022-06-28,2022,"595","Pest Management Conservation System","EQIP","Crop","{2457EA6B-05B2-4204-890C-DA780ABF87FB}",178.6,"170601070504","Other source","yes","no",1,1,0
"1161",178.6,"Ac",2023-09-11,2023,"595","Pest Management Conservation System","EQIP","Crop","{2457EA6B-05B2-4204-890C-DA780ABF87FB}",178.6,"170601070504","Other source","yes","no",1,1,0
"1162",10.2,"Ac",2023-09-29,2023,"595","Pest Management Conservation System","CStwP","Crop","{2490F8FF-5E62-41CF-ACF3-6CCD4BA0284F}",10.2,"170601070703","NRCS","no","no",1,1,0
"1163",1,"Ac",2020-09-28,2020,"327","Conservation Cover","CTA-GENRL","Crop","{2491F77F-4FA4-4CB0-9181-9C0EB87672B3}",1,"170601070504","NRCS","yes","yes",1,1,0
"1164",1,"Ac",2020-09-28,2020,"472","Access Control","CTA-GENRL","Crop","{2491F77F-4FA4-4CB0-9181-9C0EB87672B3}",1,"170601070504","NRCS","yes","yes",1,1,0
"1165",11,"Ac",2021-09-17,2021,"329","Residue and Tillage Management, No Till","EQIP","Crop","{24BC0AB5-4806-41C8-A236-72C717AEDCC9}",11,"170601070807","Other source","yes","no",1,1,0
"1166",11,"Ac",2022-08-25,2022,"329","Residue and Tillage Management, No Till","EQIP","Crop","{24BC0AB5-4806-41C8-A236-72C717AEDCC9}",11,"170601070807","Other source","yes","no",1,1,0
"1167",11,"Ac",2023-09-15,2023,"329","Residue and Tillage Management, No Till","EQIP","Crop","{24BC0AB5-4806-41C8-A236-72C717AEDCC9}",11,"170601070807","Other source","yes","no",1,1,0
"1168",2.7,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{24CA41AF-007C-426F-B18F-FD8EF6EC9BB3}",2.7,"170701020402","NRCS","yes","no",1,1,0
"1169",2.7,"Ac",2017-02-03,2017,"327","Conservation Cover","CRP","Crop","{24CA41AF-007C-426F-B18F-FD8EF6EC9BB3}",2.7,"170701020402","NRCS","yes","no",1,1,0
"1170",2.7,"Ac",2011-10-30,2012,"472","Access Control","CRP","Crop","{24CA41AF-007C-426F-B18F-FD8EF6EC9BB3}",2.7,"170701020402","NRCS","no","no",1,1,0
"1171",2.7,"Ac",2013-10-30,2014,"645","Upland Wildlife Habitat Management","CRP","Crop","{24CA41AF-007C-426F-B18F-FD8EF6EC9BB3}",2.7,"170701020402","NRCS","no","no",1,1,0
"1172",17.5,"Ac",2011-08-31,2011,"490","Tree/Shrub Site Preparation","EQIP","Forest","{24E091CC-FCFA-4E89-989F-2EF0B9BD919C}",17.5,"170701020302","NRCS","no","no",1,1,0
"1173",17.5,"Ac",2011-08-31,2011,"612","Tree/Shrub Establishment","EQIP","Forest","{24E091CC-FCFA-4E89-989F-2EF0B9BD919C}",17.5,"170701020302","NRCS","no","no",1,1,0
"1174",20.2,"Ac",2006-08-31,2006,"327","Conservation Cover","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","yes","yes",1,1,0
"1175",20.2,"Ac",2016-10-30,2017,"327","Conservation Cover","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","yes","yes",1,1,0
"1176",20.2,"Ac",2006-08-31,2006,"472","Access Control","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","yes","no",1,1,0
"1177",20.2,"Ac",2016-10-30,2017,"472","Access Control","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","yes","no",1,1,0
"1178",20.2,"Ac",2006-08-31,2006,"595","Pest Management Conservation System","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","no","no",1,1,0
"1179",20.2,"Ac",2006-08-31,2006,"645","Upland Wildlife Habitat Management","CRP","Crop","{24E0EEB0-395F-4DD9-A352-32DB1F538B58}",20.2,"170601070607","NRCS","no","no",1,1,0
"1180",2.8,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{24F9A89B-5E93-43CA-B0E3-E7B67CC6905F}",2.8,"170601070806","NRCS","yes","no",1,1,0
"1181",2.8,"Ac",2014-10-30,2015,"327","Conservation Cover","CRP","Crop","{24F9A89B-5E93-43CA-B0E3-E7B67CC6905F}",2.8,"170601070806","NRCS","yes","no",1,1,0
"1182",2.8,"Ac",2017-01-17,2017,"327","Conservation Cover","CRP","Crop","{24F9A89B-5E93-43CA-B0E3-E7B67CC6905F}",2.8,"170601070806","NRCS","yes","no",1,1,0
"1183",5,"Ac",2012-10-30,2013,"327","Conservation Cover","CRP","Crop","{251532B4-0183-4536-B445-D408E669C77A}",5,"170601070806","NRCS","yes","no",1,1,0
"1184",5,"Ac",2017-01-12,2017,"327","Conservation Cover","CRP","Crop","{251532B4-0183-4536-B445-D408E669C77A}",5,"170601070806","NRCS","yes","no",1,1,0
"1185",5,"Ac",2012-10-30,2013,"472","Access Control","CRP","Crop","{251532B4-0183-4536-B445-D408E669C77A}",5,"170601070806","NRCS","no","no",1,1,0
"1186",18.8,"Ac",2011-05-31,2011,"590","Nutrient Management","EQIP","Crop","{252C4B7B-DDC0-4097-8B7E-94939785C782}",18.8,"170601070805","NRCS","no","no",1,1,0
"1187",18.8,"Ac",2011-05-31,2011,"595","Pest Management Conservation System","EQIP","Crop","{252C4B7B-DDC0-4097-8B7E-94939785C782}",18.8,"170601070805","NRCS","no","no",1,1,0
"1188",89,"Ac",2023-08-15,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{25379701-5D20-4A0D-A5DD-ACCA0976E80F}",89,"170601070505","NRCS","no","no",1,1,0
"1189",8.9,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{2549470C-D5F0-47E3-867E-B3D99D39712A}",8.9,"170701020307","NRCS","yes","no",1,1,0
"1190",8.9,"Ac",2017-01-24,2017,"327","Conservation Cover","CRP","Crop","{2549470C-D5F0-47E3-867E-B3D99D39712A}",8.9,"170701020307","NRCS","yes","no",1,1,0
"1191",8.9,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{2549470C-D5F0-47E3-867E-B3D99D39712A}",8.9,"170701020307","NRCS","no","no",1,1,0
"1192",4.6,"Ac",2012-10-22,2013,"327","Conservation Cover","CRP","Crop","{254B761C-80F6-469B-8BCA-9AD83B50D5F2}",3.1,"170601070504","NRCS","yes","yes",1,1,0
"1193",4.1,"Ac",2022-09-27,2022,"327","Conservation Cover","CTA-GENRL","Crop","{254B761C-80F6-469B-8BCA-9AD83B50D5F2}",3.1,"170601070504","NRCS","yes","yes",1,1,0
"1194",3.1,"Ac",2012-10-22,2013,"472","Access Control","CRP","Crop","{254B761C-80F6-469B-8BCA-9AD83B50D5F2}",3.1,"170601070504","NRCS","yes","no",1,1,0
"1195",3.1,"Ac",2022-09-27,2022,"472","Access Control","CTA-GENRL","Crop","{254B761C-80F6-469B-8BCA-9AD83B50D5F2}",3.1,"170601070504","NRCS","yes","yes",1,1,0
"1196",6.8,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{257D6330-CD40-4DF1-9F6B-1E8DCE72AE69}",6.8,"170601070806","NRCS","yes","no",1,1,0
"1197",6.8,"Ac",2014-10-30,2015,"327","Conservation Cover","CRP","Crop","{257D6330-CD40-4DF1-9F6B-1E8DCE72AE69}",6.8,"170601070806","NRCS","yes","no",1,1,0
"1198",6.8,"Ac",2017-01-13,2017,"327","Conservation Cover","CRP","Crop","{257D6330-CD40-4DF1-9F6B-1E8DCE72AE69}",6.8,"170601070806","NRCS","yes","no",1,1,0
"1199",19.6,"Ac",2023-09-30,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{25859DA2-D328-4F75-8A2E-1E16F6AFDB6C}",19.6,"170601100101","Other source","no","no",1,1,0
"1200",2.9,"Ac",2013-10-01,2014,"327","Conservation Cover","CRP","Crop","{258708BB-0359-479D-85ED-EC242A782342}",2.9,"170601070804","NRCS","yes","yes",1,1,0
"1201",2.9,"Ac",2013-10-01,2014,"472","Access Control","CRP","Crop","{258708BB-0359-479D-85ED-EC242A782342}",2.9,"170601070804","NRCS","no","no",1,1,0
"1202",21.8,"Ac",2020-09-28,2020,"327","Conservation Cover","CTA-GENRL","Crop","{258F7D3E-A203-42C8-95DA-422FADA2BD18}",21.88,"170601070806","NRCS","yes","yes",1,1,0
"1203",21.8,"Ac",2020-09-28,2020,"472","Access Control","CTA-GENRL","Crop","{258F7D3E-A203-42C8-95DA-422FADA2BD18}",21.88,"170601070806","NRCS","yes","yes",1,1,0
"1204",0.9,"Ac",2011-09-21,2011,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Associated Ag Land","{25AE1CAF-3AA1-4113-AC01-351FBD95AF46}",0.94,"170701020307","NRCS","no","no",1,1,0
"1205",30,"Ac",2004-09-22,2004,"472","Access Control","CRP","Crop","{25C738DC-B0EE-444D-8EAE-21A3704F9B0D}",30,"170601070807","NRCS","no","no",1,1,0
"1206",30,"Ac",2004-09-22,2004,"645","Upland Wildlife Habitat Management","CRP","Crop","{25C738DC-B0EE-444D-8EAE-21A3704F9B0D}",30,"170601070807","NRCS","no","no",1,1,0
"1207",9.7,"Ac",2023-09-28,2023,"E590A","Improving nutrient uptake efficiency and reducing risk of nutrient losses","CStwP","Crop","{25DB3D25-9D31-4858-9A04-899BAB7AF84D}",9.7,"170601070702","Other source","no","no",1,1,0
"1208",9.7,"Ac",2022-10-28,2023,"E595B","Reduce risk of pesticides in water and air by utilizing IPM PAMS techniques","CStwP","Crop","{25DB3D25-9D31-4858-9A04-899BAB7AF84D}",9.7,"170601070702","Other source","yes","yes",1,1,0
"1209",8.9,"Ac",2020-09-01,2020,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{2611E323-449D-472E-8DE1-F5C4B128C1C2}",8.9,"170701020308","NRCS","no","no",1,1,0
"1210",8.9,"Ac",2013-09-25,2013,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{2611E323-449D-472E-8DE1-F5C4B128C1C2}",8.9,"170701020308","NRCS","yes","no",1,1,0
"1211",8.9,"Ac",2014-08-26,2014,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{2611E323-449D-472E-8DE1-F5C4B128C1C2}",8.9,"170701020308","NRCS","yes","no",1,1,0
"1212",8.9,"Ac",2015-10-01,2016,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{2611E323-449D-472E-8DE1-F5C4B128C1C2}",8.9,"170701020308","NRCS","yes","yes",1,1,0
"1213",13.6,"Ac",2004-04-15,2004,"327","Conservation Cover","CRP","Crop","{262258EF-5B45-4CFA-9FE8-625CF67E3071}",13.6,"170701020307","NRCS","no","no",1,1,0
"1214",150.2,"Ac",2007-04-06,2007,"329","Residue and Tillage Management, No Till","EQIP","Crop","{266EB80B-748B-4714-A209-EA045AD89FED}",150.2,"170601070702","NRCS","yes","no",1,1,0
"1215",150.2,"Ac",2009-10-15,2010,"329","Residue and Tillage Management, No Till","EQIP","Crop","{266EB80B-748B-4714-A209-EA045AD89FED}",150.2,"170601070702","NRCS","yes","no",1,1,0
"1216",153.2,"Ac",2012-10-22,2013,"327","Conservation Cover","CRP","Crop","{2683F3A4-9E8A-4A11-B20B-820B13D97393}",153.2,"170601070505","NRCS","yes","yes",1,1,0
"1217",153.2,"Ac",2022-06-22,2022,"327","Conservation Cover","CTA-GENRL","Crop","{2683F3A4-9E8A-4A11-B20B-820B13D97393}",153.2,"170601070505","NRCS","yes","yes",1,1,0
"1218",153.2,"Ac",2012-10-22,2013,"472","Access Control","CRP","Crop","{2683F3A4-9E8A-4A11-B20B-820B13D97393}",153.2,"170601070505","NRCS","yes","no",1,1,0
"1219",153.2,"Ac",2022-06-22,2022,"472","Access Control","CTA-GENRL","Crop","{2683F3A4-9E8A-4A11-B20B-820B13D97393}",153.2,"170601070505","NRCS","yes","yes",1,1,0
"1220",19.8,"Ac",2013-09-25,2013,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{268B5A62-2D89-4726-A960-64A12B28DA51}",19.8,"170701020601","NRCS","yes","no",1,1,0
"1221",19.8,"Ac",2014-08-26,2014,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{268B5A62-2D89-4726-A960-64A12B28DA51}",19.8,"170701020601","NRCS","yes","no",1,1,0
"1222",4,"Ac",2012-10-22,2013,"327","Conservation Cover","CRP","Crop","{26A5D647-5151-4A27-AC31-31841739ED75}",4,"170601070504","NRCS","yes","yes",1,1,0
"1223",4,"Ac",2022-07-05,2022,"327","Conservation Cover","CTA-GENRL","Crop","{26A5D647-5151-4A27-AC31-31841739ED75}",4,"170601070504","NRCS","yes","yes",1,1,0
"1224",4,"Ac",2012-10-22,2013,"472","Access Control","CRP","Crop","{26A5D647-5151-4A27-AC31-31841739ED75}",4,"170601070504","NRCS","yes","no",1,1,0
"1225",4,"Ac",2022-07-05,2022,"472","Access Control","CTA-GENRL","Crop","{26A5D647-5151-4A27-AC31-31841739ED75}",4,"170601070504","NRCS","yes","yes",1,1,0
"1226",3.3,"Ac",2017-01-13,2017,"327","Conservation Cover","CRP","Range","{26AC0B3B-D065-4C8F-A971-1290B45EC267}",3.3,"170601070504","NRCS","yes","yes",1,1,0
"1227",3.3,"Ac",2016-10-30,2017,"472","Access Control","CRP","Range","{26AC0B3B-D065-4C8F-A971-1290B45EC267}",3.3,"170601070504","NRCS","no","no",1,1,0
"1228",2.9,"Ac",2008-10-30,2009,"327","Conservation Cover","CRP","Associated Ag Land","{26B73326-B982-43D1-95EE-CA2F95431D0D}",2.9,"170601070607","NRCS","yes","no",1,1,0
"1229",2.9,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Associated Ag Land","{26B73326-B982-43D1-95EE-CA2F95431D0D}",2.9,"170601070607","NRCS","yes","no",1,1,0
"1230",2.9,"Ac",2008-10-30,2009,"472","Access Control","CRP","Associated Ag Land","{26B73326-B982-43D1-95EE-CA2F95431D0D}",2.9,"170601070607","NRCS","no","no",1,1,0
"1231",2.9,"Ac",2008-10-30,2009,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{26B73326-B982-43D1-95EE-CA2F95431D0D}",2.9,"170601070607","NRCS","no","no",1,1,0
"1232",80.2,"Ac",2020-09-30,2020,"345","Residue and Tillage Management, Reduced Till","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1233",80.2,"Ac",2021-09-30,2021,"345","Residue and Tillage Management, Reduced Till","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1234",80.2,"Ac",2022-09-30,2022,"345","Residue and Tillage Management, Reduced Till","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1235",80.2,"Ac",2023-09-30,2023,"345","Residue and Tillage Management, Reduced Till","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1236",80.2,"Ac",2020-09-30,2020,"E590119X","Reduce risks of nutrient losses to ground water by utilizing precision agriculture technologies to p","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1237",80.2,"Ac",2021-09-30,2021,"E590119X","Reduce risks of nutrient losses to ground water by utilizing precision agriculture technologies to p","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1238",80.2,"Ac",2022-09-30,2022,"E590119X","Reduce risks of nutrient losses to ground water by utilizing precision agriculture technologies to p","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1239",80.2,"Ac",2023-09-30,2023,"E590119X","Reduce risks of nutrient losses to ground water by utilizing precision agriculture technologies to p","CStwP","Crop","{26EDFF34-940E-470B-9E04-40094E1004EA}",80.2,"170701020308","Other source","yes","no",1,1,0
"1240",118.8,"Ac",2023-09-01,2023,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{26F214DA-529B-429F-A408-66A37FF8D6C5}",118.8,"170701020501","NRCS","yes","yes",1,1,0
"1241",118.8,"Ac",2023-09-01,2023,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{26F214DA-529B-429F-A408-66A37FF8D6C5}",118.8,"170701020501","NRCS","yes","yes",1,1,0
"1242",118.8,"Ac",2023-09-01,2023,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{26F214DA-529B-429F-A408-66A37FF8D6C5}",118.8,"170701020501","NRCS","yes","yes",1,1,0
"1243",118.8,"Ac",2023-09-01,2023,"WQL13","High level Integrated Pest Management to reduce pesticide environmental risk","CStwP","Crop","{26F214DA-529B-429F-A408-66A37FF8D6C5}",118.8,"170701020501","NRCS","yes","yes",1,1,0
"1244",46.8,"Ac",2017-01-17,2017,"327","Conservation Cover","CRP","Associated Ag Land","{26F93509-90F8-4B16-9F75-28372F6168A8}",46.8,"170601070506","NRCS","yes","yes",1,1,0
"1245",46.8,"Ac",2017-01-17,2017,"472","Access Control","CRP","Associated Ag Land","{26F93509-90F8-4B16-9F75-28372F6168A8}",46.8,"170601070506","NRCS","yes","yes",1,1,0
"1246",46.8,"Ac",2016-10-30,2017,"595","Pest Management Conservation System","CRP","Associated Ag Land","{26F93509-90F8-4B16-9F75-28372F6168A8}",46.8,"170601070506","NRCS","yes","yes",1,1,0
"1247",188.2,"Ac",2013-10-01,2014,"327","Conservation Cover","CRP","Crop","{270C8B76-8DF8-44FC-8D3B-40569C1F29BA}",188.2,"170601070804","NRCS","yes","yes",1,1,0
"1248",188.2,"Ac",2013-10-01,2014,"472","Access Control","CRP","Crop","{270C8B76-8DF8-44FC-8D3B-40569C1F29BA}",188.2,"170601070804","NRCS","no","no",1,1,0
"1249",290.6,"Ac",2010-09-27,2010,"327","Conservation Cover","CRP","Crop","{272FB5DE-300D-4C10-AF5A-ED68ABB4F531}",290.6,"170601070704","NRCS","no","no",1,1,0
"1250",290.6,"Ac",2010-09-27,2010,"472","Access Control","CRP","Crop","{272FB5DE-300D-4C10-AF5A-ED68ABB4F531}",290.6,"170601070704","NRCS","no","no",1,1,0
"1251",290.6,"Ac",2010-09-27,2010,"645","Upland Wildlife Habitat Management","CRP","Crop","{272FB5DE-300D-4C10-AF5A-ED68ABB4F531}",290.6,"170601070704","NRCS","no","no",1,1,0
"1252",4.5,"Ac",2008-10-20,2009,"327","Conservation Cover","CRP","Crop","{273EB3A7-68BA-4ED3-BFA8-83B71E9953BB}",4.5,"170601070805","NRCS","yes","no",1,1,0
"1253",4.5,"Ac",2013-10-20,2014,"327","Conservation Cover","CRP","Crop","{273EB3A7-68BA-4ED3-BFA8-83B71E9953BB}",4.5,"170601070805","NRCS","yes","no",1,1,0
"1254",4.5,"Ac",2008-10-20,2009,"472","Access Control","CRP","Crop","{273EB3A7-68BA-4ED3-BFA8-83B71E9953BB}",4.5,"170601070805","NRCS","no","no",1,1,0
"1255",4.5,"Ac",2008-10-20,2009,"645","Upland Wildlife Habitat Management","CRP","Crop","{273EB3A7-68BA-4ED3-BFA8-83B71E9953BB}",4.5,"170601070805","NRCS","no","no",1,1,0
"1256",1.1,"Ac",2012-10-30,2013,"327","Conservation Cover","CRP","Crop","{2746D83F-56E3-429C-A709-9698B9B43371}",1.1,"170601070505","NRCS","yes","no",1,1,0
"1257",1.1,"Ac",2017-01-12,2017,"327","Conservation Cover","CRP","Crop","{2746D83F-56E3-429C-A709-9698B9B43371}",1.1,"170601070505","NRCS","yes","no",1,1,0
"1258",1.1,"Ac",2012-10-30,2013,"472","Access Control","CRP","Crop","{2746D83F-56E3-429C-A709-9698B9B43371}",1.1,"170601070505","NRCS","no","no",1,1,0
"1259",369.7,"Ac",2021-08-30,2021,"345","Residue and Tillage Management, Reduced Till","EQIP","Crop","{27489267-96E8-45A9-8D6C-AD8CD03A8763}",369.7,"170701020401","Other source","yes","no",1,1,0
"1260",369.7,"Ac",2022-09-30,2022,"345","Residue and Tillage Management, Reduced Till","EQIP","Crop","{27489267-96E8-45A9-8D6C-AD8CD03A8763}",369.7,"170701020401","Other source","yes","no",1,1,0
"1261",369.7,"Ac",2023-09-15,2023,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{27489267-96E8-45A9-8D6C-AD8CD03A8763}",369.7,"170701020401","NRCS","yes","yes",1,1,0
"1262",369.7,"Ac",2023-09-15,2023,"590","Nutrient Management","CTA-GENRL","Crop","{27489267-96E8-45A9-8D6C-AD8CD03A8763}",369.7,"170701020401","NRCS","no","no",1,1,0
"1263",84.8,"Ac",2013-09-06,2013,"327","Conservation Cover","CRP","Crop","{2759C5E6-325E-40EF-9E24-CDF64D06FC1A}",84.8,"170701020601","NRCS","yes","yes",1,1,0
"1264",84.8,"Ac",2023-08-03,2023,"327","Conservation Cover","CTA-GENRL","Crop","{2759C5E6-325E-40EF-9E24-CDF64D06FC1A}",84.8,"170701020601","NRCS","yes","yes",1,1,0
"1265",84.8,"Ac",2013-09-06,2013,"472","Access Control","CRP","Crop","{2759C5E6-325E-40EF-9E24-CDF64D06FC1A}",84.8,"170701020601","NRCS","no","no",1,1,0
"1266",208.3,"Ac",2022-09-30,2022,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","yes","no",1,1,0
"1267",208.3,"Ac",2023-09-28,2023,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","yes","no",1,1,0
"1268",208.3,"Ac",2023-09-28,2023,"590","Nutrient Management","CTA-GENRL","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","no","no",1,1,0
"1269",208.3,"Ac",2021-09-30,2021,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","yes","no",1,1,0
"1270",208.3,"Ac",2022-09-30,2022,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","yes","no",1,1,0
"1271",208.3,"Ac",2023-09-22,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{2766C606-6CC7-4534-A73C-175129688E1D}",208.3,"170701020501","NRCS","yes","no",1,1,0
"1272",200.5,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{278A6283-3033-4792-BDBD-E8EE99E876B5}",200.53,"170601070506","NRCS","yes","no",1,1,0
"1273",200.5,"Ac",2014-10-30,2015,"327","Conservation Cover","CRP","Crop","{278A6283-3033-4792-BDBD-E8EE99E876B5}",200.53,"170601070506","NRCS","yes","no",1,1,0
"1274",200.5,"Ac",2017-01-12,2017,"327","Conservation Cover","CRP","Crop","{278A6283-3033-4792-BDBD-E8EE99E876B5}",200.53,"170601070506","NRCS","yes","no",1,1,0
"1275",96.9,"Ac",2023-09-01,2023,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{278C3FC5-D594-4E95-9ADB-E0DDCC4FC87C}",96.9,"170701020501","NRCS","yes","yes",1,1,0
"1276",96.9,"Ac",2023-09-01,2023,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{278C3FC5-D594-4E95-9ADB-E0DDCC4FC87C}",96.9,"170701020501","NRCS","yes","yes",1,1,0
"1277",96.9,"Ac",2023-09-01,2023,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{278C3FC5-D594-4E95-9ADB-E0DDCC4FC87C}",96.9,"170701020501","NRCS","yes","yes",1,1,0
"1278",96.9,"Ac",2023-09-01,2023,"WQL13","High level Integrated Pest Management to reduce pesticide environmental risk","CStwP","Crop","{278C3FC5-D594-4E95-9ADB-E0DDCC4FC87C}",96.9,"170701020501","NRCS","yes","yes",1,1,0
"1279",7.8,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{27945532-BA71-4A57-B95A-0F1F257E600E}",7.64,"170601070806","NRCS","yes","no",1,1,0
"1280",7.8,"Ac",2014-10-30,2015,"327","Conservation Cover","CRP","Crop","{27945532-BA71-4A57-B95A-0F1F257E600E}",7.64,"170601070806","NRCS","yes","no",1,1,0
"1281",7.8,"Ac",2017-01-17,2017,"327","Conservation Cover","CRP","Crop","{27945532-BA71-4A57-B95A-0F1F257E600E}",7.64,"170601070806","NRCS","yes","no",1,1,0
"1282",2.2,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{27A123A3-9560-4C1B-A270-D35AF5B19036}",2.2,"170701020307","NRCS","yes","no",1,1,0
"1283",2.2,"Ac",2017-01-24,2017,"327","Conservation Cover","CRP","Crop","{27A123A3-9560-4C1B-A270-D35AF5B19036}",2.2,"170701020307","NRCS","yes","no",1,1,0
"1284",2.2,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{27A123A3-9560-4C1B-A270-D35AF5B19036}",2.2,"170701020307","NRCS","no","no",1,1,0
"1285",3.7,"Ac",2015-10-29,2016,"345","Residue and Tillage Management, Reduced Till","EQIP","Crop","{27A32137-1E73-4389-86DC-4EACC23C4C3A}",3.7,"170601100102","NRCS","yes","no",1,1,0
"1286",3.7,"Ac",2017-09-12,2017,"345","Residue and Tillage Management, Reduced Till","EQIP","Crop","{27A32137-1E73-4389-86DC-4EACC23C4C3A}",3.7,"170601100102","NRCS","yes","yes",1,1,0
"1287",3.5,"Ac",2009-10-30,2010,"327","Conservation Cover","CRP","Associated Ag Land","{27A43026-0D4D-44B6-8377-5650B9FE9F2C}",3.52,"170701020402","NRCS","yes","no",1,1,0
"1288",3.5,"Ac",2015-10-30,2016,"327","Conservation Cover","CRP","Associated Ag Land","{27A43026-0D4D-44B6-8377-5650B9FE9F2C}",3.52,"170701020402","NRCS","yes","no",1,1,0
"1289",3.5,"Ac",2009-10-30,2010,"472","Access Control","CRP","Associated Ag Land","{27A43026-0D4D-44B6-8377-5650B9FE9F2C}",3.52,"170701020402","NRCS","no","no",1,1,0
"1290",3.5,"Ac",2009-10-30,2010,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{27A43026-0D4D-44B6-8377-5650B9FE9F2C}",3.52,"170701020402","NRCS","no","no",1,1,0
